ticker,date,period_ending,estimate,reported,surprise,surprise%
WYNN,09-Nov-2022,Sep 2022,-1.2,-1.2,0.0,0.0
X,27-Oct-2022,Sep 2022,1.92,1.95,0.03,1.56
XEL,27-Oct-2022,Sep 2022,1.2,1.18,-0.02,-1.67
XERS,09-Nov-2022,Sep 2022,-0.17,-0.14,0.03,17.65
XHR,02-Nov-2022,Sep 2022,0.36,-0.01,-0.37,-102.78
XMTR,10-Nov-2022,Sep 2022,-0.34,-0.32,0.02,5.88
XNCR,07-Nov-2022,Sep 2022,-0.77,-0.55,0.22,28.57
XOM,28-Oct-2022,Sep 2022,3.88,4.45,0.57,14.69
XPEL,09-Nov-2022,Sep 2022,0.42,0.48,0.06,14.29
XPO,31-Oct-2022,Sep 2022,1.35,1.45,0.1,7.41
XPOF,10-Nov-2022,Sep 2022,0.12,0.1,-0.02,-16.67
XRAY,14-Nov-2022,Sep 2022,0.59,0.41,-0.18,-30.51
XRX,25-Oct-2022,Sep 2022,0.37,0.19,-0.18,-48.65
XYL,01-Nov-2022,Sep 2022,0.66,0.79,0.13,19.7
YELP,03-Nov-2022,Sep 2022,0.12,0.13,0.01,8.33
YETI,10-Nov-2022,Sep 2022,0.6,0.63,0.03,5.0
YEXT,30-Nov-2022,Oct 2022,-0.01,0.02,0.03,300.0
YMAB,07-Nov-2022,Sep 2022,-0.75,-0.63,0.12,16.0
YORW,03-Nov-2022,Sep 2022,0.38,0.4,0.02,5.26
YUM,02-Nov-2022,Sep 2022,1.14,1.09,-0.05,-4.39
ZBH,02-Nov-2022,Sep 2022,1.56,1.58,0.02,1.28
ZBRA,01-Nov-2022,Sep 2022,4.55,4.12,-0.43,-9.45
ZETA,01-Nov-2022,Sep 2022,0.04,0.04,0.0,0.0
ZEUS,03-Nov-2022,Sep 2022,0.93,1.14,0.21,22.58
ZG,02-Nov-2022,Sep 2022,0.15,0.38,0.23,153.33
ZI,01-Nov-2022,Sep 2022,0.2,0.24,0.04,20.0
ZION,24-Oct-2022,Sep 2022,1.58,1.4,-0.18,-11.39
ZIP,09-Nov-2022,Sep 2022,0.13,0.17,0.04,30.77
ZM,21-Nov-2022,Oct 2022,0.84,1.07,0.23,27.38
ZNTL,09-Nov-2022,Sep 2022,-1.15,-0.96,0.19,16.52
ZS,01-Dec-2022,Oct 2022,0.26,0.29,0.03,11.54
ZTS,03-Nov-2022,Sep 2022,1.24,1.21,-0.03,-2.42
ZUMZ,01-Dec-2022,Oct 2022,0.17,0.36,0.19,111.76
ZUO,06-Dec-2022,Oct 2022,-0.06,-0.02,0.04,66.67
