ticker,date,period_ending,estimate,reported,surprise,surprise%
QRVO,01-FEB-23,Dec 2022,0.64,0.75,0.11,17.19
QTRX,06-MAR-23,Dec 2022,-0.53,-0.5,0.03,5.66
QTWO,21-FEB-23,Dec 2022,0.13,0.06,-0.07,-53.85
R,15-FEB-23,Dec 2022,3.6,3.89,0.29,8.06
RAD,21-DEC-22,Nov 2022,-0.32,-0.14,0.18,56.25
RAMP,07-FEB-23,Dec 2022,0.29,0.28,-0.01,-3.45
RAPT,14-MAR-23,Dec 2022,-0.67,-0.64,0.03,4.48
RARE,16-FEB-23,Dec 2022,-2.03,-2.16,-0.13,-6.4
RBA,21-FEB-23,Dec 2022,0.58,0.68,0.1,17.24
RBB,23-JAN-23,Dec 2022,0.93,0.92,-0.01,-1.08
RBBN,15-FEB-23,Dec 2022,-0.01,0.09,0.1,1000.0
RBC,09-FEB-23,Dec 2022,1.61,1.64,0.03,1.86
RBCAA,27-JAN-23,Dec 2022,0.83,0.94,0.11,13.25
RC,27-FEB-23,Dec 2022,0.41,0.42,0.01,2.44
RCKT,27-FEB-23,Dec 2022,-0.81,-0.92,-0.11,-13.58
RCL,07-FEB-23,Dec 2022,-1.37,-1.12,0.25,18.25
RCM,16-FEB-23,Dec 2022,-0.03,-0.09,-0.06,-200.0
RCUS,28-FEB-23,Dec 2022,-0.99,-0.93,0.06,6.06
RDFN,16-FEB-23,Dec 2022,-1.13,-0.83,0.3,26.55
RDN,08-FEB-23,Dec 2022,0.87,1.05,0.18,20.69
RDNT,28-FEB-23,Dec 2022,0.19,0.11,-0.08,-42.11
RE,08-FEB-23,Dec 2022,9.29,12.21,2.92,31.43
REG,09-FEB-23,Dec 2022,0.98,0.56,-0.42,-42.86
REGN,03-FEB-23,Dec 2022,9.68,12.56,2.88,29.75
RELY,22-FEB-23,Dec 2022,-0.21,-0.11,0.1,47.62
REPL,09-FEB-23,Dec 2022,-0.77,-0.69,0.08,10.39
RES,25-JAN-23,Dec 2022,0.3,0.41,0.11,36.67
REVG,08-MAR-23,Jan 2023,0.01,0.12,0.11,1100.0
REX,23-MAR-23,Jan 2023,0.36,0.47,0.11,30.56
REXR,08-FEB-23,Dec 2022,0.48,0.22,-0.26,-54.17
REYN,08-FEB-23,Dec 2022,0.57,0.53,-0.04,-7.02
REZI,15-FEB-23,Dec 2022,0.37,0.26,-0.11,-29.73
RF,20-JAN-23,Dec 2022,0.65,0.67,0.02,3.08
RGA,02-FEB-23,Dec 2022,3.51,2.99,-0.52,-14.81
RGEN,22-FEB-23,Dec 2022,0.58,0.68,0.1,17.24
RGLD,15-FEB-23,Dec 2022,0.83,0.91,0.08,9.64
RGNX,28-FEB-23,Dec 2022,-1.48,-1.38,0.1,6.76
RGP,04-JAN-23,Nov 2022,0.41,0.52,0.11,26.83
RH,29-MAR-23,Jan 2023,3.35,2.88,-0.47,-14.03
RHI,26-JAN-23,Dec 2022,1.35,1.37,0.02,1.48
RHP,23-FEB-23,Dec 2022,1.68,1.03,-0.65,-38.69
RICK,09-FEB-23,Dec 2022,1.13,1.19,0.06,5.31
RIGL,07-MAR-23,Dec 2022,-0.07,0.01,0.08,114.29
RIOT,02-MAR-23,Dec 2022,-0.14,-0.07,0.07,50.0
RJF,25-JAN-23,Dec 2022,2.21,2.29,0.08,3.62
RKT,28-FEB-23,Dec 2022,-0.1,-0.1,0.0,0.0
RL,09-FEB-23,Dec 2022,2.91,3.35,0.44,15.12
RLI,25-JAN-23,Dec 2022,1.08,1.53,0.45,41.67
RLMD,23-MAR-23,Dec 2022,-1.33,-1.26,0.07,5.26
RM,08-FEB-23,Dec 2022,0.61,0.54,-0.07,-11.48
RMAX,16-FEB-23,Dec 2022,0.41,0.41,0.0,0.0
RMBS,06-FEB-23,Dec 2022,0.47,0.47,0.0,0.0
RMD,26-JAN-23,Dec 2022,1.6,1.66,0.06,3.75
RMR,02-FEB-23,Dec 2022,0.53,0.51,-0.02,-3.77
RNA,28-FEB-23,Dec 2022,-0.84,-0.88,-0.04,-4.76
RNG,15-FEB-23,Dec 2022,0.59,0.6,0.01,1.69
RNR,31-JAN-23,Dec 2022,6.58,7.33,0.75,11.4
RNST,24-JAN-23,Dec 2022,0.88,0.89,0.01,1.14
ROAD,09-FEB-23,Dec 2022,0.06,0.04,-0.02,-33.33
ROCK,22-FEB-23,Dec 2022,0.71,0.72,0.01,1.41
ROG,28-FEB-23,Dec 2022,0.86,1.04,0.18,20.93
ROIC,15-FEB-23,Dec 2022,0.27,0.08,-0.19,-70.37
ROK,26-JAN-23,Dec 2022,1.81,2.46,0.65,35.91
ROKU,15-FEB-23,Dec 2022,-1.73,-1.7,0.03,1.73
ROL,15-FEB-23,Dec 2022,0.16,0.17,0.01,6.25
ROP,27-JAN-23,Dec 2022,3.77,3.92,0.15,3.98
ROST,28-FEB-23,Jan 2023,1.23,1.31,0.08,6.5
RPAY,01-MAR-23,Dec 2022,0.21,0.23,0.02,9.52
RPD,08-FEB-23,Dec 2022,0.18,0.35,0.17,94.44
RPM,05-JAN-23,Nov 2022,1.1,1.1,0.0,0.0
RPRX,15-FEB-23,Dec 2022,1.56,1.56,0.0,0.0
RPT,15-FEB-23,Dec 2022,0.23,0.63,0.4,173.91
RRC,27-FEB-23,Dec 2022,1.12,1.3,0.18,16.07
RRR,07-FEB-23,Dec 2022,0.56,1.0,0.44,78.57
RS,16-FEB-23,Dec 2022,4.47,5.87,1.4,31.32
RSG,15-FEB-23,Dec 2022,1.02,1.13,0.11,10.78
RTX,24-JAN-23,Dec 2022,1.24,1.27,0.03,2.42
RUN,22-FEB-23,Dec 2022,0.03,0.29,0.26,866.67
RUTH,23-FEB-23,Dec 2022,0.32,0.38,0.06,18.75
RVLV,23-FEB-23,Dec 2022,0.1,0.11,0.01,10.0
RVMD,27-FEB-23,Dec 2022,-0.84,-0.63,0.21,25.0
RVNC,28-FEB-23,Dec 2022,-1.04,-1.82,-0.78,-75.0
RWT,09-FEB-23,Dec 2022,0.17,-0.11,-0.28,-164.71
RXDX,28-FEB-23,Dec 2022,-0.91,-0.9,0.01,1.1
RXST,06-MAR-23,Dec 2022,-0.72,-0.56,0.16,22.22
RYAM,27-FEB-23,Dec 2022,0.02,0.04,0.02,100.0
RYI,22-FEB-23,Dec 2022,0.7,-0.65,-1.35,-192.86
RYN,01-FEB-23,Dec 2022,0.1,0.11,0.01,10.0
S,14-MAR-23,Jan 2023,-0.16,-0.13,0.03,18.75
SABR,15-FEB-23,Dec 2022,-0.32,-0.36,-0.04,-12.5
SAGE,16-FEB-23,Dec 2022,-2.37,-2.47,-0.1,-4.22
SAH,15-FEB-23,Dec 2022,2.26,2.61,0.35,15.49
SAIA,03-FEB-23,Dec 2022,2.8,2.65,-0.15,-5.36
SAIC,03-APR-23,Jan 2023,1.63,2.04,0.41,25.15
SAM,15-FEB-23,Dec 2022,0.72,-0.93,-1.65,-229.17
SASR,26-JAN-23,Dec 2022,0.93,0.79,-0.14,-15.05
SATS,22-FEB-23,Dec 2022,0.39,0.59,0.2,51.28
SAVA,28-FEB-23,Dec 2022,-0.58,-0.47,0.11,18.97
SAVE,06-FEB-23,Dec 2022,0.04,0.12,0.08,200.0
SBAC,21-FEB-23,Dec 2022,3.13,0.94,-2.19,-69.97
SBCF,26-JAN-23,Dec 2022,0.16,0.34,0.18,112.5
SBGI,22-FEB-23,Dec 2022,0.28,0.9,0.62,221.43
SBH,02-FEB-23,Dec 2022,0.49,0.52,0.03,6.12
SBOW,01-MAR-23,Dec 2022,2.42,7.65,5.23,216.12
SBRA,21-FEB-23,Dec 2022,0.36,-0.37,-0.73,-202.78
SBSI,27-JAN-23,Dec 2022,0.86,0.88,0.02,2.33
SBUX,02-FEB-23,Dec 2022,0.77,0.75,-0.02,-2.6
SCCO,03-FEB-23,Dec 2022,0.8,1.17,0.37,46.25
SCHN,05-JAN-23,Nov 2022,-0.45,-0.44,0.01,2.22
SCHW,18-JAN-23,Dec 2022,1.1,1.07,-0.03,-2.73
SCI,14-FEB-23,Dec 2022,0.8,0.92,0.12,15.0
SCL,16-FEB-23,Dec 2022,0.54,0.59,0.05,9.26
SCSC,07-FEB-23,Dec 2022,1.04,1.06,0.02,1.92
SCU,28-FEB-23,Dec 2022,0.3,-0.1,-0.4,-133.33
SCVL,22-MAR-23,Jan 2023,0.78,0.79,0.01,1.28
SDGR,28-FEB-23,Dec 2022,-0.5,-0.39,0.11,22.0
SEAS,28-FEB-23,Dec 2022,0.68,0.76,0.08,11.76
SEE,09-FEB-23,Dec 2022,0.98,0.99,0.01,1.02
SEIC,25-JAN-23,Dec 2022,0.79,0.83,0.04,5.06
SEM,23-FEB-23,Dec 2022,0.33,0.22,-0.11,-33.33
SENS,15-MAR-23,Dec 2022,-0.05,-0.01,0.04,80.0
SFBS,23-JAN-23,Dec 2022,1.24,1.24,0.0,0.0
SFIX,07-MAR-23,Jan 2023,-0.33,-0.34,-0.01,-3.03
SFL,15-FEB-23,Dec 2022,0.28,0.27,-0.01,-3.57
SFM,02-MAR-23,Dec 2022,0.37,0.42,0.05,13.51
SFNC,24-JAN-23,Dec 2022,0.63,0.64,0.01,1.59
SFST,24-JAN-23,Dec 2022,1.02,0.68,-0.34,-33.33
SG,23-FEB-23,Dec 2022,-0.4,-0.44,-0.04,-10.0
SGEN,15-FEB-23,Dec 2022,-1.02,-0.8,0.22,21.57
SGH,03-JAN-23,Nov 2022,0.6,0.6,0.0,0.0
SGMO,22-FEB-23,Dec 2022,-0.36,-0.32,0.04,11.11
SGRY,01-MAR-23,Dec 2022,0.21,0.27,0.06,28.57
SHAK,16-FEB-23,Dec 2022,-0.11,-0.06,0.05,45.45
SHBI,26-JAN-23,Dec 2022,0.49,0.46,-0.03,-6.12
SHC,28-FEB-23,Dec 2022,0.22,0.25,0.03,13.64
SHCR,29-MAR-23,Dec 2022,-0.05,-0.07,-0.02,-40.0
SHEN,22-FEB-23,Dec 2022,-0.04,-0.04,0.0,0.0
SHLS,28-FEB-23,Dec 2022,0.09,0.15,0.06,66.67
SHO,22-FEB-23,Dec 2022,0.19,0.07,-0.12,-63.16
SHOO,23-FEB-23,Dec 2022,0.44,0.44,0.0,0.0
SHW,26-JAN-23,Dec 2022,1.84,1.89,0.05,2.72
SHYF,23-FEB-23,Dec 2022,0.45,0.58,0.13,28.89
SIBN,27-FEB-23,Dec 2022,-0.42,-0.32,0.1,23.81
SIG,16-MAR-23,Jan 2023,5.35,5.52,0.17,3.18
SIGI,02-FEB-23,Dec 2022,1.46,1.46,0.0,0.0
SILK,28-FEB-23,Dec 2022,-0.37,-0.34,0.03,8.11
SIRI,02-FEB-23,Dec 2022,0.08,0.09,0.01,12.5
SITC,08-FEB-23,Dec 2022,0.28,0.12,-0.16,-57.14
SITE,15-FEB-23,Dec 2022,0.13,-0.02,-0.15,-115.38
SITM,01-FEB-23,Dec 2022,0.55,0.64,0.09,16.36
